Region,Subregion,name,Drug,retail_price,retail_unit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Europe,South-Eastern Europe,Bosnia and Herzegovina,Crack,27.12,Gram,2010,,,
Europe,South-Eastern Europe,Croatia,Cocaine salts,106.69,Gram,2013,,,
Europe,South-Eastern Europe,The former Yugoslav Republic of Macedonia,Coca paste/cocaine base,76.48,Gram,2009,,,
Europe,Western & Central Europe,Belgium,Crack,54.80,Gram,2007,,,
Europe,Western & Central Europe,France,Crack,27.40,Gram,2007,,,
Europe,Western & Central Europe,Germany,Crack,81.67,Gram,2011,,,
Europe,Western & Central Europe,Gibraltar,Cocaine salts,92.40,Gram,2008,,,
Europe,Western & Central Europe,Gibraltar,Crack,129.36,Gram,2008,,,
Europe,Western & Central Europe,Hungary,Crack,75.00,Gram,2011,,,
Europe,Western & Central Europe,Iceland,Cocaine salts,143.58,Gram,2013,,,
Europe,Western & Central Europe,Ireland,Coca paste/cocaine base,219.07,Gram,2012,,,
Europe,Western & Central Europe,Liechtenstein,Coca paste/cocaine base,109.92,Gram,2009,,,
Europe,Western & Central Europe,Liechtenstein,Cocaine salts,101.32,Gram,2014,,,
Europe,Western & Central Europe,Lithuania,Cocaine salts,95.27,Gram,2014,,,
Europe,Western & Central Europe,Luxembourg,Cocaine salts,113.89,Gram,2013,,,
Europe,Western & Central Europe,Malta,Coca paste/cocaine base,55.27,Gram,2014,,,
Europe,Western & Central Europe,Malta,Crack,72.38,Gram,2014,,,
Europe,Western & Central Europe,Poland,Crack,94.35,Gram,2006,,,
