country,region,subregion,specifics,,retail_price,retail_punit,retail_year,wholesale_price,wholesale_unit,wholesale_year
Barbados,Americas,Caribbean,Marijuana (herb),,3.5,Gram,2007,,,
Bermuda,Americas,Caribbean,Marijuana (herb),,124.1,Gram,2006,,,
Colombia,Americas,South America,Hashish (resin),,1.9,Gram,2004,,,
Saint Kitts and Nevis,Americas,Caribbean,Marijuana (herb),,7.4,Gram,2009,,,
Cambodia,Asia,East and South-East Asia,Hashish (resin),,12,Gram,2014,,,
Cambodia,Asia,East and South-East Asia,Marijuana (herb),,8,Gram,2014,,,
Iran (Islamic Republic of),Asia,Near and Middle East /South-West Asia,Hashish (resin),,0.6,Gram,2009,,,
Japan,Asia,East and South-East Asia,Marijuana (herb),,41.4,Gram,2014,,,
Jordan,Asia,Near and Middle East /South-West Asia,Marijuana (herb),,7,Gram,2007,,,
Lao People's Democratic Republic,Asia,East and South-East Asia,Marijuana (herb),,0.1,Gram,2014,,,
Macao SAR,Asia,East and South-East Asia,Hashish (resin),,12,Gram,2009,,,
Nepal,Asia,Near and Middle East /South-West Asia,Hashish (resin),,3,Gram,2007,,,
Republic of Korea,Asia,East and South-East Asia,Hashish (resin),,28.2,Gram,2012,,,
United Arab Emirates,Asia,Near and Middle East /South-West Asia,Hashish (resin),,95,Gram,2006,,,
Bosnia and Herzegovina,Europe,South-Eastern Europe,Hashish (resin),,7.4,Gram,2008,,,
Cyprus,Europe,Western & Central Europe,Marijuana (herb),,26.3,Gram,2014,,,
Cyprus,Europe,Western & Central Europe,Marijuana (herb),,,,,,,
Czech Republic,Europe,Western & Central Europe,Marijuana (herb),,9.2,Gram,2014,,,
Estonia,Europe,Western & Central Europe,Hashish (resin),,19.7,Gram,2014,,,
Finland,Europe,Western & Central Europe,Marijuana (herb),,,,,,,
Gibraltar,Europe,Western & Central Europe,Hashish (resin),,4.6,Gram,2008,,,
Gibraltar,Europe,Western & Central Europe,Marijuana (herb),,9.2,Gram,2008,,,
Greece,Europe,Western & Central Europe,Cannabis oil,,20.7,Gram,2009,,,
Iceland,Europe,Western & Central Europe,Hashish (resin),,23.1,Gram,2013,,,
Iceland,Europe,Western & Central Europe,Marijuana (herb),,28.7,Gram,2013,,,
Latvia,Europe,Western & Central Europe,Hashish (resin),,22.4,Gram,2014,,,
Latvia,Europe,Western & Central Europe,Marijuana (herb),,18.4,Gram,2014,,,
Liechtenstein,Europe,Western & Central Europe,Hashish (resin),,15.2,Gram,2014,,,
Liechtenstein,Europe,Western & Central Europe,Marijuana (herb),,9.1,Gram,2014,,,
Monaco,Europe,Western & Central Europe,Hashish (resin),,2.5,Gram,2005,,,
Netherlands,Europe,Western & Central Europe,Marijuana (herb),,12.9,Gram,2014,,,
Portugal,Europe,Western & Central Europe,Hashish (resin),,3.9,Gram,2013,,,
Serbia,Europe,South-Eastern Europe,Marijuana (herb),,14,Gram,2014,,,
New Zealand,Oceania,Oceania,Hashish (resin),,19.5,Gram,2014,,,
